Player,Hero,Role,Winner,File,Date,Map,GameTime,HeroKills,Assists,Takedowns,Deaths,MinionDmg,SummonDmg,StructDmg,SiegeDmg,HeroDmg,DmgTaken,XP,SpentDead,Rooting,Silence,Stun,CC,OnFire,SpellDmg,PhysDmg,MercDmg,MercCaptures,MinionKills,Regen,Award,HealShield,SelfHeal,,
Deathmask#1670,Raynor,Ranged Assassin,Loser,2024-09-13 23.26.54 Puesto de avanzada de Braxis.StormReplay,13/09/2024,Puesto de avanzada de Braxis.StormReplay,00:23:14,3,15,18,13,47385,0,39668,88990,39057,83271,17677,00:05:09,00:00:00,00:00:00,00:00:00,00:00:30,00:00:00,00:00:00,67246,3933,1,49,21,0,0,14852,,
Ticoman#1667,Johanna,Tank,Loser,2024-04-21 22.48.22 Puesto de avanzada de Braxis.StormReplay,21/04/2024,Puesto de avanzada de Braxis.StormReplay,00:29:37,1,15,16,13,43824,4552,7920,56296,67681,261070,22006,00:06:01,00:00:00,00:00:00,00:00:24,00:03:03,00:00:00,00:00:00,26093,4624,3,57,44,0,13434,86037,,
Raizenser#1838,E.T.C.,Tank,Loser,2024-11-25 23.30.41 Ciudad argenta.StormReplay,25/11/2024,Ciudad argenta.StormReplay,00:26:55,0,15,15,13,21667,0,7808,29712,42062,157358,12744,00:05:59,00:00:00,00:00:00,00:01:02,00:01:02,00:00:00,00:00:00,20293,3586,0,19,57,0,6667,44141,,
Zombicioso#1115,Illidan,Melee Assassin,Winner,2024-01-26 23.36.10 Caverna perdida.StormReplay,26/01/2024,Caverna perdida.StormReplay,00:19:16,11,14,25,13,8289,587,12146,21022,59098,108930,15708,00:05:40,00:00:00,00:00:00,00:00:07,00:00:25,00:00:00,00:00:00,39173,0,0,11,29,0,0,53480,,
WatchdogMan#1114,Diablo,Tank,Loser,2024-01-29 23.37.13 Distrito industrial.StormReplay,29/01/2024,Distrito industrial.StormReplay,00:22:48,5,13,18,13,37000,0,5295,42646,58975,207477,22070,00:04:32,00:00:00,00:00:00,00:01:12,00:01:12,00:00:00,00:00:00,23642,0,0,39,56,MostStuns,0,13437,,
WatchdogMan#1114,Sonya,Bruiser,Winner,2024-10-14 23.17.28 Puesto de avanzada de Braxis.StormReplay,14/10/2024,Puesto de avanzada de Braxis.StormReplay,00:22:49,1,11,12,13,36868,3135,1467,41470,75384,138807,14333,00:06:19,00:00:00,00:00:00,00:00:32,00:00:32,00:00:00,00:00:00,30681,6327,2,28,23,0,0,33640,,
Rampage15th#1710,Valeera,Melee Assassin,Winner,2024-08-31 23.41.00 Caverna perdida.StormReplay,31/08/2024,Caverna perdida.StormReplay,00:21:09,0,10,10,13,8931,0,772,9703,20685,71241,6382,00:05:29,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,21648,0,0,12,15,0,281,0,,
Raizenser#1838,Tassadar,Mage,Winner,2024-08-25 16.05.26 Puesto de avanzada de Braxis.StormReplay,25/08/2024,Puesto de avanzada de Braxis.StormReplay,00:23:13,2,9,11,13,51771,1369,8993,63080,70239,61711,13783,00:06:05,00:00:00,00:00:00,00:00:00,00:03:57,00:00:00,00:00:00,20145,8494,1,58,32,MostEscapes,0,6238,,
Raizenser#1838,Arthas,Tank,Loser,2024-08-04 22.39.38 Ciudad argenta.StormReplay,04/08/2024,Ciudad argenta.StormReplay,00:14:02,1,3,4,13,10473,0,96,11721,24616,80191,6411,00:03:41,00:00:47,00:00:00,00:00:00,00:03:05,00:00:00,00:00:00,11297,1055,1,6,10,MostRoots,0,5176,,
WatchdogMan#1114,Valla,Ranged Assassin,Winner,2024-03-03 01.28.04 Puesto de avanzada de Braxis.StormReplay,03/03/2024,Puesto de avanzada de Braxis.StormReplay,00:26:12,12,42,54,12,70523,0,41536,115505,53909,72039,44598,00:06:03,00:00:00,00:00:00,00:00:05,00:00:05,00:02:47,00:00:00,55944,12153,3,63,46,MostSiegeDamageDone,0,11367,,
Deathmask#1670,Artanis,Bruiser,Winner,2024-06-19 21.35.50 Caverna perdida.StormReplay,19/06/2024,Caverna perdida.StormReplay,00:22:01,13,33,46,12,42581,14900,16992,74473,121833,161361,24379,00:05:41,00:00:00,00:00:00,00:00:00,00:02:48,00:00:07,00:00:00,108347,0,0,43,25,MostVengeancesPerformed,0,46641,,
Zombicioso#1115,Jaina,Mage,Winner,2024-11-13 23.00.33 Ciudad argenta.StormReplay,13/11/2024,Ciudad argenta.StormReplay,00:19:38,13,29,42,12,29927,6053,10505,49503,43482,46651,24649,00:05:46,00:00:00,00:00:00,00:00:00,00:08:47,00:00:18,00:00:00,9729,8620,3,27,23,MostVengeancesPerformed,0,6886,,
WatchdogMan#1114,D.Va,Bruiser,Winner,2024-04-03 21.44.51 Caverna perdida.StormReplay,03/04/2024,Caverna perdida.StormReplay,00:28:32,8,29,37,12,125065,16208,25391,166664,127952,202037,32741,00:04:31,00:00:00,00:00:00,00:00:15,00:14:17,00:01:44,00:00:00,112597,0,0,113,43,0,0,13598,,
Ticoman#1667,Kel'Thuzad,Mage,Loser,2024-02-21 21.39.52 Braxis Outpost.StormReplay,21/02/2024,Braxis Outpost.StormReplay,00:21:38,7,27,34,12,33170,0,5519,41573,33737,47540,25209,00:05:47,00:00:49,00:00:00,00:00:03,00:02:58,00:00:00,00:00:00,4155,14656,2,34,29,0,0,0,,
WatchdogMan#1114,Blaze,Tank,Loser,2024-01-04 00.47.14 Ciudad argenta.StormReplay,04/01/2024,Ciudad argenta.StormReplay,00:20:47,3,25,28,12,24670,1476,6805,36656,35007,98309,17952,00:04:59,00:00:00,00:00:00,00:00:38,00:11:09,00:00:00,00:00:00,25053,7758,2,25,33,0,0,9461,,
Ticoman#1667,Kerrigan,Melee Assassin,Winner,2024-05-08 22.47.30 Caverna perdida.StormReplay,08/05/2024,Caverna perdida.StormReplay,00:25:24,8,24,32,12,37241,11034,8644,56919,39212,79062,22214,00:05:23,00:00:00,00:00:00,00:00:09,00:00:29,00:01:00,00:00:00,25032,0,0,39,38,0,0,16026,,
Zombicioso#1115,Kel'Thuzad,Mage,Loser,2024-02-21 21.39.52 Braxis Outpost.StormReplay,21/02/2024,Braxis Outpost.StormReplay,00:21:38,15,23,38,12,44043,0,17381,66031,53271,51121,29149,00:06:16,00:00:40,00:00:00,00:00:13,00:03:36,00:00:35,00:00:00,3013,8373,1,53,25,0,0,0,,
Ticoman#1667,Diablo,Tank,Winner,2024-09-01 22.40.33 Lost Cavern.StormReplay,01/09/2024,Lost Cavern.StormReplay,00:26:06,4,23,27,12,25208,0,4253,29461,64486,236417,11740,00:05:23,00:00:00,00:00:00,00:01:18,00:01:18,00:00:00,00:00:00,41545,0,0,15,47,0,0,60011,,
WatchdogMan#1114,Kel'Thuzad,Mage,Winner,2024-02-04 00.37.49 Distrito industrial.StormReplay,04/02/2024,Distrito industrial.StormReplay,00:20:53,2,23,25,12,38385,19528,16950,75062,28599,48477,18217,00:05:35,00:00:31,00:00:00,00:00:03,00:01:52,00:00:00,00:00:00,12067,1820,1,37,41,0,0,939,,
Deathmask#1670,Garrosh,Tank,Winner,2024-11-27 23.18.33 Ciudad argenta.StormReplay,27/11/2024,Ciudad argenta.StormReplay,00:27:45,2,21,23,12,29595,1293,2671,34472,62641,155889,16346,00:05:48,00:00:00,00:00:00,00:00:22,00:05:22,00:00:12,00:00:00,32538,4476,3,22,45,0,0,16963,,
Raizenser#1838,Greymane,Melee Assassin,Loser,2024-02-09 22.17.38 Distrito industrial.StormReplay,09/02/2024,Distrito industrial.StormReplay,00:23:05,15,20,36,12,84337,0,27436,112586,154885,110701,30033,00:05:26,00:00:00,00:00:00,00:00:00,00:00:00,00:00:55,00:00:00,170648,0,0,87,35,MostTeamfightHeroDamageDone,0,0,,
Ticoman#1667,Cassia,Ranged Assassin,Winner,2024-12-12 23.08.59 Puesto de avanzada de Braxis.StormReplay,12/12/2024,Puesto de avanzada de Braxis.StormReplay,00:23:32,10,20,30,12,35457,15577,3460,57598,60643,74103,19203,00:06:02,00:00:00,00:00:00,00:00:05,00:01:55,00:00:00,00:00:00,32373,0,0,29,33,0,3906,16030,,
Raizenser#1838,Kael'thas,Mage,Loser,2024-01-10 21.06.47 Puesto de avanzada de Braxis.StormReplay,10/01/2024,Puesto de avanzada de Braxis.StormReplay,00:22:25,8,20,28,12,52639,0,4860,64977,52000,59290,24885,00:05:52,00:00:00,00:00:00,00:00:09,00:00:09,00:00:00,00:00:00,3945,3750,0,66,30,0,0,4894,,
WatchdogMan#1114,D.Va,Bruiser,Loser,2024-04-27 00.12.20 Caverna perdida.StormReplay,27/04/2024,Caverna perdida.StormReplay,00:23:08,4,20,24,12,82379,905,6355,89639,82151,183113,22528,00:05:15,00:00:00,00:00:00,00:00:12,00:09:11,00:01:15,00:00:00,72525,0,0,85,26,0,0,17704,,
WatchdogMan#1114,Blaze,Tank,Winner,2024-10-20 22.48.07 Lost Cavern.StormReplay,20/10/2024,Lost Cavern.StormReplay,00:22:56,3,20,23,12,39963,9773,8308,58044,69293,159579,16042,00:06:10,00:00:00,00:00:00,00:00:58,00:16:24,00:00:00,00:00:00,26565,0,0,35,39,0,0,17242,,
Deathmask#1670,Fenix,Ranged Assassin,Loser,2024-09-27 23.17.21 Braxis Outpost.StormReplay,27/09/2024,Braxis Outpost.StormReplay,00:29:29,10,19,29,12,73316,19769,10657,111251,129773,120016,29583,00:05:39,00:00:00,00:00:00,00:00:00,00:06:57,00:00:00,00:00:00,120853,9522,1,91,43,0,0,0,,
Zombicioso#1115,Zarya,Support,Winner,2024-11-20 23.20.55 Caverna perdida.StormReplay,20/11/2024,Caverna perdida.StormReplay,00:24:09,8,18,26,12,57854,0,5312,63166,71647,130967,20870,00:06:18,00:00:00,00:00:00,00:00:00,00:00:00,00:01:26,00:00:00,55148,0,0,51,37,0,16684,48548,,
Raizenser#1838,Valla,Ranged Assassin,Winner,2024-02-04 00.37.49 Distrito industrial.StormReplay,04/02/2024,Distrito industrial.StormReplay,00:20:53,17,17,34,12,16193,21109,9445,46747,88390,50767,25743,00:04:48,00:00:00,00:00:00,00:00:00,00:01:00,00:01:19,00:00:00,29612,4827,1,26,31,MostVengeancesPerformed,0,8222,,
Deathmask#1670,Thrall,Bruiser,Winner,2024-07-18 00.00.47 Caverna perdida.StormReplay,18/07/2024,Caverna perdida.StormReplay,00:22:40,5,17,22,12,16434,2386,10394,29214,88859,104136,11463,00:05:41,00:00:49,00:00:00,00:00:00,00:03:52,00:00:00,00:00:00,50356,0,0,19,18,0,0,29870,,
WatchdogMan#1114,Valla,Ranged Assassin,Winner,2024-07-12 23.23.31 Caverna perdida.StormReplay,12/07/2024,Caverna perdida.StormReplay,00:23:56,8,16,24,12,68063,21651,28815,118529,117287,80328,18477,00:06:15,00:00:00,00:00:00,00:00:00,00:02:55,00:01:46,00:00:00,60595,0,0,56,43,MostTeamfightHeroDamageDone,0,7133,,
Zombicioso#1115,Arthas,Tank,Winner,2024-06-09 19.59.55 Ciudad argenta.StormReplay,09/06/2024,Ciudad argenta.StormReplay,00:19:57,4,16,20,12,27934,0,14500,47277,49706,143333,11761,00:04:31,00:01:18,00:00:00,00:00:00,00:06:42,00:00:00,00:00:00,23870,2811,3,20,29,MostRoots,0,24644,,
WatchdogMan#1114,Cassia,Ranged Assassin,Winner,2024-07-24 22.21.42 Ciudad argenta.StormReplay,24/07/2024,Ciudad argenta.StormReplay,00:19:53,8,15,23,12,46744,3729,16876,72449,87245,64089,18025,00:04:43,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,37113,3956,2,41,28,MostHeroDamageDone,2971,16062,,
Raizenser#1838,Malthael,Bruiser,Loser,2024-08-08 22.42.08 Distrito industrial.StormReplay,08/08/2024,Distrito industrial.StormReplay,00:22:13,7,14,21,12,50745,10378,795,62727,73612,109791,14814,00:06:22,00:00:00,00:00:00,00:00:19,00:02:59,00:00:00,00:00:00,29568,0,0,54,38,0,0,22657,,
Deathmask#1670,Xul,Bruiser,Loser,2024-01-06 00.13.39 Ciudad argenta.StormReplay,06/01/2024,Ciudad argenta.StormReplay,00:25:12,6,14,20,12,69410,1076,7636,87130,64501,144219,23436,00:07:31,00:00:33,00:00:00,00:00:00,00:08:07,00:01:19,00:00:00,67824,2152,2,80,26,0,0,35183,,
Zombicioso#1115,Cassia,Ranged Assassin,Loser,2023-12-13 22.58.56 Caverna perdida.StormReplay,13/12/2023,Caverna perdida.StormReplay,00:19:21,8,13,21,12,34828,11449,15791,62068,61511,55925,15979,00:05:26,00:00:00,00:00:00,00:00:00,00:03:54,00:00:00,00:00:00,25583,0,0,36,22,0,0,7925,,
Deathmask#1670,Arthas,Tank,Loser,2024-11-27 22.33.40 Caverna perdida.StormReplay,27/11/2024,Caverna perdida.StormReplay,00:23:41,1,13,14,12,23778,711,11680,36169,58041,158056,10201,00:05:01,00:00:45,00:00:00,00:00:00,00:05:08,00:00:00,00:00:00,35424,0,0,21,31,0,0,33360,,
Raizenser#1838,Malthael,Bruiser,Loser,2024-04-11 22.56.17 Ciudad argenta.StormReplay,11/04/2024,Ciudad argenta.StormReplay,00:31:36,8,12,20,12,64481,6672,2439,77779,179018,194806,23161,00:08:15,00:00:00,00:00:00,00:00:00,00:09:12,00:00:00,00:00:00,83273,31934,7,62,43,MostMercCampsCaptured,0,74730,,
Deathmask#1670,Samuro,Melee Assassin,Winner,2023-12-01 23.42.00 Caverna perdida.StormReplay,01/12/2023,Caverna perdida.StormReplay,00:23:13,3,12,15,12,15961,0,13291,29252,60422,82372,8303,00:06:01,00:00:00,00:00:00,00:00:00,00:00:05,00:00:00,00:00:00,52689,0,0,10,44,0,0,3539,,
Zombicioso#1115,Varian,Bruiser,Loser,2024-04-06 22.36.24 Puesto de avanzada de Braxis.StormReplay,06/04/2024,Puesto de avanzada de Braxis.StormReplay,00:16:16,6,10,16,12,8583,5333,2435,17396,30322,77422,7277,00:04:05,00:00:00,00:00:00,00:00:00,00:00:50,00:00:00,00:00:00,22441,5216,1,9,18,0,0,32288,,
Ticoman#1667,Diablo,Tank,Winner,2024-06-25 22.25.10 Puesto de avanzada de Braxis.StormReplay,25/06/2024,Puesto de avanzada de Braxis.StormReplay,00:16:31,2,10,12,12,16841,0,3092,19933,37726,128493,7650,00:03:47,00:00:00,00:00:00,00:00:59,00:00:59,00:00:00,00:00:00,27529,0,0,10,6,0,0,36858,,
Deathmask#1670,Falstad,Ranged Assassin,Winner,2024-03-27 23.06.40 Lost Cavern.StormReplay,27/03/2024,Lost Cavern.StormReplay,00:18:17,4,7,11,12,42883,15804,10457,69144,73412,59455,15139,00:04:15,00:00:00,00:00:00,00:00:00,00:03:06,00:00:00,00:00:00,49316,0,0,48,21,0,0,10283,,
Raizenser#1838,Gul'dan,Mage,Winner,2023-12-30 23.42.04 Ciudad argenta.StormReplay,30/12/2023,Ciudad argenta.StormReplay,00:27:49,3,7,10,12,59728,0,10778,79557,107194,97021,17829,00:05:56,00:00:00,00:00:38,00:00:00,00:00:00,00:00:00,00:00:00,5739,5037,3,59,33,0,0,22131,,
Raizenser#1838,Gul'dan,Mage,Winner,2024-04-06 22.16.53 Puesto de avanzada de Braxis.StormReplay,06/04/2024,Puesto de avanzada de Braxis.StormReplay,00:17:27,1,7,8,12,37600,0,4276,43687,40916,47255,12004,00:03:54,00:00:00,00:00:14,00:00:00,00:00:00,00:00:00,00:00:00,2307,2796,1,39,11,0,0,9016,,
Raizenser#1838,Qhira,Melee Assassin,Loser,2024-02-22 22.23.27 Puesto de avanzada de Braxis.StormReplay,22/02/2024,Puesto de avanzada de Braxis.StormReplay,00:19:05,2,5,7,12,17927,0,0,17927,64422,90410,9034,00:04:24,00:00:00,00:00:11,00:00:36,00:00:36,00:00:00,00:00:00,13834,6779,1,21,12,0,0,20045,,
Deathmask#1670,Xul,Bruiser,Winner,2024-05-16 00.07.47 Puesto de avanzada de Braxis.StormReplay,16/05/2024,Puesto de avanzada de Braxis.StormReplay,00:18:55,0,5,5,12,26917,0,2170,34142,61413,93574,5574,00:04:27,00:00:22,00:00:00,00:00:00,00:06:26,00:00:00,00:00:00,43408,0,0,26,12,0,0,27633,,
WatchdogMan#1114,Fenix,Ranged Assassin,Loser,2023-12-30 22.05.02 Distrito industrial.StormReplay,30/12/2023,Distrito industrial.StormReplay,00:11:36,0,2,2,12,20956,3388,0,24344,38605,36288,4158,00:02:16,00:00:00,00:00:00,00:00:00,00:04:27,00:00:00,00:00:00,34360,170,0,20,13,0,0,0,,
